alloy_id,DOI,source_type,data_location,processing_history,test_standard
Ti6242_syn05,ChatGPT (synthetic),LLM,Synthetic,920K 30 min WQ + aging,Synthetic
Ti6242_syn06,ChatGPT (synthetic),LLM,Synthetic,SPS sintered,Synthetic
Ti6242_syn07,ChatGPT (synthetic),LLM,Synthetic,SPS + 50% deformation,Synthetic
Ti6242_syn08,ChatGPT (synthetic),LLM,Synthetic,SPS + 75% deformation,Synthetic

NearAlpha_syn01,ChatGPT (synthetic),LLM,Synthetic,Forged + HT,Synthetic
NearAlpha_syn02,ChatGPT (synthetic),LLM,Synthetic,Forged + HT,Synthetic
NearAlpha_syn03,ChatGPT (synthetic),LLM,Synthetic,Forged + HT,Synthetic
NearAlpha_syn04,ChatGPT (synthetic),LLM,Synthetic,Forged + HT,Synthetic
NearAlpha_syn05,ChatGPT (synthetic),LLM,Synthetic,Forged + HT,Synthetic
NearAlpha_syn06,ChatGPT (synthetic),LLM,Synthetic,Forged + HT,Synthetic

Beta_syn01,ChatGPT (synthetic),LLM,Synthetic,Solution treated,Synthetic
Beta_syn02,ChatGPT (synthetic),LLM,Synthetic,Solution treated,Synthetic
Beta_syn03,ChatGPT (synthetic),LLM,Synthetic,Solution treated,Synthetic
Beta_syn04,ChatGPT (synthetic),LLM,Synthetic,Solution treated + aging,Synthetic
Beta_syn05,ChatGPT (synthetic),LLM,Synthetic,Solution treated + aging,Synthetic
Beta_syn06,ChatGPT (synthetic),LLM,Synthetic,Solution treated + aging,Synthetic
Beta_syn07,ChatGPT (synthetic),LLM,Synthetic,Solution treated + ω,Synthetic
Beta_syn08,ChatGPT (synthetic),LLM,Synthetic,Solution treated + ω,Synthetic
Beta_syn09,ChatGPT (synthetic),LLM,Synthetic,Solution treated + ω,Synthetic

AM_syn01,ChatGPT (synthetic),LLM,Synthetic,Additively manufactured 650C,Synthetic
AM_syn02,ChatGPT (synthetic),LLM,Synthetic,Additively manufactured 700C,Synthetic
AM_syn03,ChatGPT (synthetic),LLM,Synthetic,Additively manufactured 750C,Synthetic
AM_syn04,ChatGPT (synthetic),LLM,Synthetic,Additively manufactured + HIP,Synthetic
AM_syn05,ChatGPT (synthetic),LLM,Synthetic,Additively manufactured + aging,Synthetic
AM_syn06,ChatGPT (synthetic),LLM,Synthetic,Additively manufactured + aging,Synthetic

